"cry";"volume";"gelo";"percgel";"percin";"percat";"difpercatin";"preop";"prein";"preat";"presup";"difsupperc";"preres";"difresperc";"qualymes";"rmaxtu";"acumperc";"maxperc";"minperc";"aumeperc";"final"
"1INCH";8.874;1.691;-3.19;-4.106;-3.99;-2.83;1.705;1.635;1.637;1.624;0.79;1.634;0.18;633;0.4;0.122;0.122;-0.245;0;-0.673
"AAVE";14.769;161.1;-5.34;-5.941;-5.63;-5.23;161.6;152;152.5;25.939;82.99;152.6;-0.07;633;0.47;0.329;0.329;-0.132;0;-0.921
"ACA";4.25;1.45;-9.79;-11.361;-11.02;-3;1.47;1.303;1.308;1.295;0.99;2.8;-114.07;3;0.5;0.384;0.384;-0.153;0.153;-1.842
"ACH";2.107;0.03902;-5.89;-4.674;-4.65;-0.51;0.03851;0.03671;0.03672;0.0358;2.51;0.0398;-8.39;3;0.5;0.027;0.327;0;-0.027;-0.763
"ACM";0.249;4.184;-5.09;-5.362;-5.36;-0.04;4.196;3.971;3.971;3.962;0.23;10.3;-159.38;3333;0.08;0;0;0;0;-0.705
"ADA";129.971;1.077;-4.18;-5.418;-5.23;-3.47;1.089;1.03;1.032;1.023;0.87;1.04;-0.78;63;0.89;0.194;0.194;0;0.097;-0.291
"ADX";5.905;0.4291;2.68;2.348;2.42;3.07;0.4302;0.4403;0.4406;0.4415;-0.2;0.4448;-0.95;33;0.2;0.068;0.409;0;0;-2.203
"AGLD";108.315;1.322;8.17;15.541;16.35;5.21;1.229;1.42;1.43;1.338;6.43;1.439;-0.63;33;0.2;0.704;1.408;0;0.492;-3.099
"AION";2.323;0.0914;-0.77;1.001;0.89;-11.09;0.0899;0.0908;0.0907;0.0899;0.88;0.0922;-1.65;63;0.64;-0.11;0;-0.11;0;-0.881
"AKRO";1.703;0.01318;-3.57;-4.148;-4.15;0.05;0.01326;0.01271;0.01271;0.01243;2.2;0.0131;-3.07;63;0.38;0;0;-0.315;0;-2.282
"ALCX";1.056;180.1;-11.44;-10.706;-10.59;-1.08;178.4;159.3;159.5;135.2;15.24;458;-187.15;3;0.25;0.126;0.126;0;0.063;-0.879
"ALGO";47.767;0.9842;-5.78;-5.754;-5.56;-3.37;0.9819;0.9254;0.9273;0.9213;0.65;0.9697;-4.57;36;0.03;0.205;0.216;-0.205;-0.011;-0.551
"ALICE";23.842;7.4;-7.43;-7.094;-6.55;-7.67;7.33;6.81;6.85;6.77;1.17;11;-60.58;36;0.08;0.587;0.587;0;0;-1.028
"ALPACA";1.367;0.3676;-3.86;-3.871;-3.65;-5.71;0.3668;0.3526;0.3534;0.3529;0.14;0.3541;-0.2;33;0.14;0.227;0.284;0;-0.057;0.227
"ALPHA";1.735;0.3834;-2.97;-2.285;-2.29;0.22;0.3807;0.372;0.372;0.369;0.81;0.3709;0.3;6333;0.29;0;0;-0.188;0;-1.694
"AMP";1.126;0.03003;-2.66;-2.068;-2.5;20.89;0.02998;0.02936;0.02923;0.024;17.89;0.08;-173.69;3;0.25;-0.443;0;-0.511;-0.137;-2.248
"ANC";5.754;1.537;-13.27;-13.528;-13.72;1.42;1.545;1.336;1.333;1.253;6;1.98;-48.54;3;0.5;-0.225;0;-0.374;0;-0.075
"ANKR";9.463;0.07859;-4.39;-4.707;-4.15;-11.83;0.07839;0.0747;0.07514;0.07356;2.1;0.07597;-1.1;66;0.66;0.589;0.683;-0.08;0.04;-2.142
"ANT";45.182;8.429;-7.5;6.063;6.23;2.75;7.34;7.785;7.797;7.746;0.65;12.428;-59.39;366;0.05;0.154;0.154;-0.283;0.103;-2.543
"ANY";3.696;19.48;3.29;3.523;4.25;20.64;19.3;19.98;20.12;12;40.36;34.61;-72.02;6;0.67;0.701;0.801;-0.25;0.05;1.351
"API3";3.72;3.568;-4.62;-3.918;-4.09;4.39;3.548;3.409;3.403;3.331;2.12;7.22;-112.17;3;0.5;-0.176;0;-0.381;0;-1.056
"AR";20.991;39.84;-11.62;-14.258;-14.04;-1.53;40.96;35.12;35.21;7.101;79.83;91.08;-158.68;6;0.7;0.256;0.313;0;-0.057;-1.822
"ARDR";0.88;0.1808;5.31;3.936;5.54;40.75;0.1804;0.1875;0.1904;0.1832;3.78;0.1936;-1.68;663;0.55;1.547;1.547;0;0.263;0.373
"ARPA";1.63;0.0631;-4.77;-4.375;-4.39;0.34;0.06285;0.0601;0.06009;0.05896;1.88;0.06474;-7.74;6;0.89;-0.017;0;-0.183;0;-2.612
"ASR";0.118;3.132;-3.35;-2.669;-2.67;0.04;3.11;3.027;3.027;3.027;0;11.653;-284.97;3333;0.07;0;0;0;0;-0.297
"ATA";2.09;0.4095;-5.91;-7.034;-6.86;-2.47;0.4137;0.3846;0.3853;0.3819;0.88;0.3892;-1.01;33;0.11;0.182;0.182;-0.182;0;-1.664
"ATM";0.375;5.33;-5.44;-6.145;-6.15;0.08;5.37;5.04;5.04;5.03;0.2;12.46;-147.22;633;0.4;0;0;0;0;-0.794
"ATOM";88.706;28.31;-7.52;-9.278;-8.69;-6.34;28.67;26.01;26.18;25.98;0.76;27.78;-6.11;66;0.86;0.654;0.654;0;0.076;-0.654
"AUCTION";0.542;14.33;-4.75;-5.732;-5.73;-0.03;14.48;13.65;13.65;13.72;-0.51;14.09;-3.22;3;0.4;0;0;0;0;-1.099
"AUD";17.33;0.7133;-0.41;-0.351;-0.34;-3.13;0.7128;0.7103;0.7104;0.71;0.06;0.7102;0.03;3333;0.21;0.014;0.014;-0.014;0;0.056
"AUDIO";5.601;0.968;-5.58;-8.342;-8.14;-2.42;0.995;0.912;0.914;0.916;-0.22;0.916;-0.22;66;0.35;0.219;0.219;-0.219;0.11;-0.768
"AUTO";0.753;413.2;-3.41;-4.178;-4.18;0.05;416.5;399.1;399.1;399.1;0;1072;-168.6;333;0.09;0;0;0;0;-0.952
"AVA";0.637;1.165;-3.86;-4.034;-3.86;-4.31;1.165;1.118;1.12;1.117;0.27;1.127;-0.62;633;0.38;0.179;0.179;0;0;2.326
"AVAX";154.929;73.06;-6.52;-7.539;-7.39;-1.98;73.75;68.19;68.3;0.85;98.76;147;-115.23;6;0.83;0.161;0.161;-0.147;0;-0.205
"AXS";53.929;52.88;-7.73;-7.367;-7.37;0.04;52.67;48.79;48.79;48.32;0.96;154.6;-216.87;6;0.81;0;0;-0.123;0;-0.738
"BADGER";1.917;11.21;-9.19;-9.609;-9.43;-1.86;11.24;10.16;10.18;8.28;18.66;10.21;-0.29;36;0.08;0.197;0.197;0;0;-0.295
"BAKE";5.335;0.641;-1.09;0.795;0.79;-0.63;0.629;0.634;0.634;0.63;0.63;0.634;0;333;0.18;0;0.158;-0.158;-0.157;-1.577
"BAL";1.441;12.42;-5.23;-5.925;-5.76;-2.78;12.49;11.75;11.77;8.375;28.84;11.82;-0.42;633;0.53;0.17;0.17;-0.085;0;-0.851
"BAND";2.97;3.444;-2.12;-2.207;-2.09;-5.3;3.443;3.367;3.371;3.334;1.1;10.087;-199.23;633;0.67;0.119;0.119;-0.238;0.089;-0.921
"BAR";0.7;6.29;-5.09;-3.704;-3.86;4.21;6.21;5.98;5.97;5.91;1.01;15.4;-157.96;333;0.09;-0.167;0;-0.167;0;-0.502
"BAT";11.787;0.8386;-1.94;-2.151;-1.76;-18.18;0.837;0.819;0.8223;0.08;90.27;1.929;-134.59;6;0.92;0.403;0.403;-0.244;0.073;-0.842
"BCH";18.558;289.1;-3.94;-3.549;-3.38;-4.76;287.4;277.2;277.7;277.3;0.14;1650;-494.17;633;0.68;0.18;0.18;-0.036;0.072;-0.469
"BEAM";1.596;0.3478;-1.29;-2.666;-2.64;-0.98;0.3526;0.3432;0.3433;0.2689;21.67;1.32;-284.5;63;0.67;0.029;0.175;-0.029;0;-0.728
"BEL";1.267;0.939;-5.75;-5.668;-5.35;-5.61;0.935;0.882;0.885;0.882;0.34;0.888;-0.34;3333;0.06;0.34;0.34;-0.227;0;-2.154
"BETA";20.239;0.39363;10.51;9.915;9.25;-6.71;0.39819;0.43767;0.43501;0.39041;10.25;0.48855;-12.31;33;0.2;-0.608;0;-1.295;-0.209;-2.008
"BICO";7.792;1.991;-3.47;-4.677;-4.38;-6.35;2.01;1.916;1.922;1.872;2.6;1.924;-0.1;3;0.33;0.313;0.313;-0.157;0.104;-1.931
"BLZ";2.424;0.133;-2.78;-3.221;-3.15;-2.2;0.1335;0.1292;0.1293;0.1287;0.46;0.1297;-0.31;63;0.42;0.077;0.077;-0.077;0;-1.316
"BNB";212.081;382.8;-3.89;-4.001;-3.79;-5.27;382.4;367.1;367.9;6.38;98.27;369.8;-0.52;66;0.83;0.218;0.218;-0.054;0.027;-0.572
"BNT";0.854;2.509;-3.79;-3.912;-3.63;-7.21;2.505;2.407;2.414;2.393;0.87;2.418;-0.17;63;0.56;0.291;0.291;0;0.291;-0.914
"BNX";2.782;19.9;1.01;0.995;0;-100;20.1;20.3;20.1;20;0.5;20.9;-3.98;3;0.25;-0.985;0;-0.985;0;-1.97
"BOND";1.474;9.83;-2.03;-1.728;-2.13;23.26;9.84;9.67;9.63;9.52;1.14;10.26;-6.54;33;0.5;-0.414;0;-0.517;0;0.724
"BTC";1376.555;38416.38;-3.74;-4.096;-3.94;-3.81;38496.26;36919.62;36980.08;36839.07;0.38;36968.53;0.03;6;0.95;0.164;0.164;-0.036;0.016;-0.102
"BTCST";2.195;15.12;-0.26;-0.265;0.07;-126.42;15.07;15.03;15.08;8;46.95;1000;-6531.3;3363;0.07;0.333;0.333;0;0;-0.133
"BTG";0.463;30.44;-3.48;-4.74;-3.96;-16.46;30.59;29.14;29.38;29.26;0.41;169;-475.22;333;0.18;0.824;0.824;0;0.17;0.103
"BTS";1.253;0.0246;-7.24;-7.947;-7.95;0.04;0.02479;0.02282;0.02282;0.0228;0.09;0.02307;-1.1;633;0.6;0;0.088;-0.175;0;-2.016
"BTT";32.648;0.002601;6.77;8.139;8.14;0.01;0.002568;0.002777;0.002777;0.00271;2.41;0.00278;-0.11;663;0.76;0;0;0;0;0
"BTTC";12.496;0.00000213;-1.88;-1.869;-2.34;25.2;0.00000214;0.0000021;0.00000209;0.0000015;28.23;0.00000255;-22.01;3;0.5;-0.476;0;-0.476;-0.476;-0.952
"BURGER";1.186;1.769;-3.39;-4.578;-4.58;0.04;1.791;1.709;1.709;1.722;-0.76;1.735;-1.52;333;0.18;0;0;-0.351;0;-0.819
"BUSD";666.14;0.9995;0.01;0.01;0.01;0;0.9995;0.9996;0.9996;0.9995;0.01;0.9996;0;3333;0.03;0;0;-0.01;0;0
"C98";5.512;1.702;-6.52;-6.537;-6.3;-3.63;1.698;1.587;1.591;1.58;0.69;1.592;-0.06;63;0.25;0.252;0.252;-0.063;0;-1.008
"CAKE";15.512;7.67;-5.22;-4.974;-4.84;-2.69;7.64;7.26;7.27;7.19;1.1;11.42;-57.08;333;0.23;0.138;0.138;-0.138;0;-1.102
"CELO";10.104;3.174;-4.91;-5.778;-5.75;-0.48;3.202;3.017;3.018;2.907;3.68;10.957;-263.06;63;0.57;0.033;0.033;-0.133;0;-0.961
"CELR";12.064;0.05281;-5.91;-5.406;-5.41;0.07;0.05253;0.04969;0.04969;0.04911;1.17;0.05023;-1.09;63;0.86;0;0.181;-0.181;0.02;-1.167
"CFX";2.093;0.1128;-4.88;-4.452;-4.45;-0.04;0.1123;0.1073;0.1073;0.1055;1.68;0.1085;-1.12;333;0.08;0;0;-0.28;0;-0.093
"CHESS";10.014;0.94;5.32;4;4.21;5.25;0.95;0.988;0.99;0.978;1.21;1.007;-1.72;33;0.2;0.202;0.202;-0.202;0.202;-3.239
"CHR";35.123;0.5379;-3.01;-3.314;-2.87;-13.4;0.5371;0.5193;0.5217;0.0159;96.95;1.5;-187.52;6;0.86;0.462;0.462;-0.077;0.077;-0.597
"CHZ";18.54;0.1863;-1.93;-2.83;-2.46;-13.07;0.1873;0.182;0.1827;0.1806;1.15;0.1811;0.88;633;0.63;0.385;0.385;-0.055;0.055;-0.604
"CITY";0.484;9.67;-3.52;-3.612;-3.72;2.99;9.69;9.34;9.33;9.21;1.29;10.23;-9.65;3;0.25;-0.107;0;-0.107;0;-0.214
"CKB";4.164;0.01562;-4.74;-3.636;-3.38;-7.04;0.0154;0.01484;0.01488;0.01466;1.48;0.01498;-0.67;66;0.21;0.27;0.27;-0.067;0.067;0.404
"CLV";1.937;0.345;-5.51;-4.373;-4.96;13.42;0.343;0.328;0.326;0.322;1.23;0.336;-3.07;33;0.13;-0.61;0;-0.61;0;-1.524
"COCOS";8.377;1.3505;-8.69;-7.38;-7.8;5.69;1.3374;1.2387;1.2331;1.2321;0.08;1.3899;-12.72;6;0.9;-0.452;0;-0.654;0.097;-0.226
"COMP";6.159;125.8;-4.53;-5.901;-5.51;-6.63;127.1;119.6;120.1;80.62;32.87;121.8;-1.42;633;0.57;0.418;0.418;-0.084;0;-0.836
"COS";2.66;0.01742;-6.95;-5.701;-5.7;-0.02;0.01719;0.01621;0.01621;0.01598;1.42;0.01618;0.19;6;0.94;0;0.062;-0.123;-0.062;-1.542
"COTI";16.12;0.3112;-9.09;-7.692;-7.4;-3.8;0.3055;0.282;0.2829;0.2768;2.16;0.2893;-2.26;63;0.84;0.319;0.319;-0.213;0;-1.667
"CRV";57.295;3.382;-7.19;-7.882;-7.68;-2.56;3.4;3.132;3.139;3.109;0.96;23.255;-640.84;36;0.05;0.223;0.255;-0.223;-0.032;-1.022
"CTK";1.695;1.314;-2.59;-2.061;-2.29;11.11;1.31;1.283;1.28;1.281;-0.08;1.288;-0.63;336;0.06;-0.234;0;-0.234;0;-1.091
"CTSI";4.802;0.4708;-9.92;-10.62;-10.28;-3.2;0.4727;0.4225;0.4241;0.4228;0.31;0.429;-1.16;63;0.61;0.379;0.426;-0.024;0.094;-1.136
"CTXC";3.5;0.3062;-3.95;-4.414;-4.54;2.85;0.3081;0.2945;0.2941;0.2916;0.85;0.2975;-1.16;6;0.93;-0.136;0;-0.17;0.034;-1.392
"CVC";4.709;0.2785;3.95;2.366;3.8;60.61;0.2789;0.2855;0.2895;0.2833;2.14;0.2846;1.69;63;0.84;1.401;1.401;-0.245;0.277;-1.786
"CVP";0.679;1.089;-3.31;-2.405;-2.59;7.69;1.081;1.055;1.053;1.05;0.28;1.057;-0.38;33;0.2;-0.19;0.095;-0.284;0;-0.664
"CVX";3.288;27.89;-5.06;-4.705;-4.89;3.93;27.84;26.53;26.48;21.7;18.05;63;-137.92;3;0.67;-0.188;0.038;-0.226;-0.226;-1.131
"DAR";46.19;0.7139;14.82;13.288;13.11;-1.34;0.7247;0.821;0.81971;0.63129;22.99;1.41638;-72.79;3;0.25;-0.157;0.001;-0.571;0.132;-3.626
"DASH";8.648;97.1;-3.19;-3.395;-3.29;-3.09;97.2;93.9;94;92.6;1.49;138.3;-47.13;633;0.75;0.106;0.106;-0.213;0.106;-1.278
"DATA";1.204;0.07807;-5.85;-6.393;-6.39;-0.05;0.07852;0.0735;0.0735;0.07366;-0.22;0.07436;-1.17;633;0.57;0;0;0;0;-0.354
"DCR";0.482;62.9;-0.95;-0.952;-1.11;16.6;63;62.4;62.3;62.3;0;114.2;-83.31;633;0.5;-0.16;0;-0.16;0;0.481
"DEGO";0.876;3.78;-4.76;-5.99;-6.25;4.34;3.84;3.61;3.6;3.58;0.56;10.79;-199.72;33;0.08;-0.277;0;-0.277;0;-1.662
"DENT";9.335;0.002651;-5.96;-5.391;-5.35;-0.76;0.002634;0.002492;0.002493;0.002484;0.36;0.002501;-0.32;663;0.68;0.04;0.04;-0.281;0;-1.244
"DEXE";1.371;6.6;-0.76;-0.606;-0.76;25.41;6.6;6.56;6.55;6.45;1.53;27.22;-315.57;33;0.13;-0.152;0;-0.152;0;-0.762
"DF";1.542;0.1021;-0.2;1.287;0.89;-30.85;0.101;0.1023;0.1019;0.1018;0.1;0.1026;-0.69;33;0.17;-0.391;0;-0.391;0;-0.391
"DGB";2.084;0.02207;-4.3;-5.254;-5.16;-1.79;0.02227;0.0211;0.02112;0.02109;0.14;0.02115;-0.14;633;0.55;0.095;0.095;-0.284;0.047;-1.659
"DIA";0.883;0.951;-4.84;-5.037;-5.04;0.06;0.953;0.905;0.905;0.896;0.99;0.907;-0.22;333;0.5;0;0.11;-0.221;0;0.221
"DNT";1.242;0.0818;-2.93;-2.689;-2.93;8.96;0.0818;0.0796;0.0794;0.0796;-0.25;0.0799;-0.63;633;0.38;-0.251;0;-0.251;0;-1.131
"DOCK";0.827;0.04309;-3.9;-4.89;-4.94;1.02;0.04356;0.04143;0.04141;0.0412;0.51;0.04175;-0.82;633;0.68;-0.048;0;-0.097;0;-1.11
"DODO";4.13;0.496;-5.85;-4.115;-3.91;-4.98;0.486;0.466;0.467;0.465;0.43;0.467;0;3333;0.08;0.215;0.215;-0.215;0;-1.073
"DOGE";69.999;0.1427;-3.08;-3.16;-2.88;-8.86;0.1424;0.1379;0.1383;0.135;2.39;0.1396;-0.94;633;0.72;0.29;0.363;-0.073;-0.072;-0.073
"DOT";171.208;20.12;-6.96;-7.072;-6.77;-4.27;20.08;18.66;18.72;2;89.32;19.61;-4.75;6;0.84;0.322;0.322;-0.107;0.053;-0.965
"DREP";1.922;0.7509;-5.25;-4.622;-4.68;1.25;0.7464;0.7119;0.7115;0.708;0.49;0.7207;-1.29;66;0.62;-0.056;0;-0.169;0;-1.236
"DUSK";19.39;0.5309;-11.4;-10.925;-10.47;-4.16;0.5254;0.468;0.4704;0.0106;97.75;1.1743;-149.64;6;0.94;0.513;0.534;-0.214;0.043;-0.791
"DYDX";31.264;6.188;-5.46;-4.249;-4.02;-5.39;6.095;5.836;5.85;5.809;0.7;10.73;-83.42;33;0.17;0.24;0.24;-0.171;0.017;-0.6
"EGLD";31.733;150.48;-6.16;-7.821;-7.43;-5;152.54;140.61;141.21;6;95.75;141.54;-0.23;6;0.83;0.427;0.427;-0.156;0.106;-1.33
"ELF";1.727;0.3282;6.06;5.141;5.9;14.76;0.3287;0.3456;0.3481;0.3445;1.03;0.3478;0.09;33;0.17;0.723;0.781;-0.376;-0.057;-0.116
"ENJ";15.118;1.838;-8;-7.923;-7.6;-4.08;1.83;1.685;1.691;1.664;1.6;1.861;-10.05;6;0.91;0.356;0.415;-0.059;-0.059;-1.306
"ENS";11.631;19.19;-5.52;-6.435;-5.92;-8;19.27;18.03;18.13;17.81;1.77;120;-561.89;3;0.25;0.555;0.555;-0.166;0.055;-1.941
"EOS";29.454;2.368;-3.55;-4.039;-3.91;-3.19;2.377;2.281;2.284;2.276;0.35;14.9;-552.36;3633;0.04;0.132;0.132;-0.132;0;-0.614
"EPS";2.885;0.1657;-3.14;-3.661;-3.66;-0.03;0.1666;0.1605;0.1605;0.1602;0.19;0.1603;0.12;333;0.09;0;0;-0.187;0;-0.935
