"cry";"volume";"gelo";"percgel";"percin";"percat";"difpercatin";"preop";"prein";"preat";"presup";"difsupperc";"preres";"difresperc";"qualymes";"rmaxtu";"acumperc";"maxperc";"minperc";"aumeperc";"final"
"ERN";1.18;4.983;-2.55;-1.436;-1.76;22.56;4.943;4.872;4.856;4.792;1.32;19.838;-308.53;33;0.33;-0.328;0;-0.328;-0.328;-0.452
"ETC";34.135;28.11;-6.05;-4.734;-4.55;-3.89;27.67;26.36;26.41;3.0726;88.37;179.83;-580.92;633;0.8;0.19;0.19;-0.038;0;-0.835
"ETH";1249.405;2764;-2.32;-2.267;-2.08;-8.25;2757.24;2694.72;2699.99;81.79;96.97;4868;-80.3;6;0.95;0.196;0.196;-0.05;0.011;-0.437
"EUR";20.521;1.125;0.18;0.178;0.18;1.12;1.125;1.127;1.127;1.127;0;1.128;-0.09;3636;0.04;0;0.089;0;0;0.089
"FARM";2.472;107.7;-3.71;-4.858;-4.95;1.89;109.1;103.8;103.7;99.7;3.86;103.8;-0.1;33;0.14;-0.096;0;-0.096;0;-0.771
"FET";3.456;0.3199;-4.81;-5.345;-5.38;0.65;0.3218;0.3046;0.3045;0.3016;0.95;0.3079;-1.12;63;0.86;-0.033;0;-0.23;0;0.098
"FIDA";13.373;2.312;4.63;1.605;2.2;37.07;2.367;2.405;2.419;1.331;44.98;107.365;-4338.4;3;0.5;0.582;0.582;-1.04;0.041;-3.326
"FIL";58.926;20.66;-1.94;-2.037;-1.75;-14.09;20.62;20.2;20.26;20.2;0.3;120.17;-493.14;3333;0.06;0.297;0.297;-0.05;0;-0.693
"FIO";0.514;0.0981;-2.14;-3.223;-3.32;3.01;0.0993;0.0961;0.096;0.096;0;0.0968;-0.83;63;0.44;-0.104;0;-0.104;0;-0.208
"FIRO";0.402;3.713;-5.28;-4.223;-4.17;-1.26;3.67;3.515;3.517;3.51;0.2;12.296;-249.62;333;0.36;0.057;0.057;-0.085;0.028;0.228
"FIS";4.973;0.7267;0.61;0.527;1.36;158.06;0.7213;0.7251;0.7311;0.7132;2.45;0.7543;-3.17;363;0.08;0.827;0.827;0;0;-0.565
"FLM";1.822;0.2503;-4;-3.909;-4.15;6.17;0.2507;0.2409;0.2403;0.2408;-0.21;0.2422;-0.79;3633;0.06;-0.249;0;-0.291;0;-1.411
"FLOW";13.396;6.49;-6.78;-7.22;-7.07;-2.08;6.51;6.04;6.05;6.01;0.66;21.54;-256.03;333;0.13;0.166;0.331;0;0.166;-1.821
"FLUX";7.708;1.535;-2.54;-1.777;-1.51;-15.03;1.519;1.492;1.496;1.22;18.45;5;-234.22;3;0.33;0.268;0.268;-0.067;0;-1.072
"FOR";2.66;0.04606;-4.6;-5.455;-5.63;3.21;0.04656;0.04402;0.04394;0.04393;0.02;0.04457;-1.43;33;0.29;-0.182;0.023;-0.182;0;-0.545
"FORTH";34.648;5.29;28.17;29.367;30.13;2.6;5.21;6.74;6.78;6.76;0.29;10;-47.49;3333;0.09;0.593;0.742;0;0;5.193
"FRONT";1.807;0.4989;-1.36;-2.267;-2.15;-5.16;0.5029;0.4915;0.4921;0.4931;-0.2;0.4956;-0.71;33;0.2;0.122;0.122;0;0;-1.831
"FTM";189.196;2.0786;-7.65;-7.492;-7.27;-2.96;2.0702;1.9151;1.9196;1.9;1.02;1.9959;-3.97;63;0.88;0.235;0.235;-0.026;0.031;-1.06
"FTT";35.568;44.64;-3.63;-4.174;-3.97;-4.89;44.8;42.93;43.02;42.67;0.81;43.19;-0.4;63;0.81;0.21;0.21;-0.07;0.047;-0.582
"FUN";0.694;0.00984;-0.61;-0.306;-0.2;-34.64;0.0098;0.00977;0.00978;0.00979;-0.1;0.00981;-0.31;633;0.68;0.102;0.205;-0.512;0.102;-0.819
"FXS";1.859;21.119;-3.52;-4.826;-4.81;-0.33;21.405;20.372;20.376;13.348;34.49;45.9;-125.27;6;0.67;0.02;0.034;0;0;-0.618
"GALA";118.714;0.19967;-7.4;-10.123;-9.84;-2.8;0.20507;0.18431;0.1849;0.17959;2.87;0.21067;-13.94;6;0.5;0.32;0.385;-0.168;-0.065;-0.749
"GBP";7.35;1.352;0.44;0.592;0.52;-12.16;1.351;1.359;1.358;1.358;0;1.359;-0.07;3633;0.05;-0.074;0;-0.074;0;-0.074
"GHST";0.333;2.024;0.05;-0.344;-0.34;-1.16;2.032;2.025;2.025;2.008;0.84;2.04;-0.74;6;0.57;0;0;0;0;-0.593
"GLMR";9.919;5.1422;-1.98;-5.97;-6.06;1.51;5.3653;5.045;5.0402;4.93;2.19;5.2522;-4.21;3;0.5;-0.095;0.099;-0.095;-0.095;-2.381
"GNO";0.136;293.5;-2.25;-2.614;-2.61;-0.15;294.6;286.9;286.9;282.3;1.6;290;-1.08;3;0.57;0;0;0;0;-0.732
"GRT";14.103;0.4341;-6.84;-7.791;-7.61;-2.32;0.4377;0.4036;0.4044;0.4037;0.17;0.4068;-0.59;633;0.2;0.198;0.198;-0.099;0.049;-0.892
"GTC";11.521;8.184;-7.83;-7.681;-7.45;-3.01;8.15;7.524;7.543;7.466;1.02;13.275;-75.99;6;0.67;0.253;0.253;-0.292;0;-1.741
"GTO";1.205;0.03334;-3.99;-4.369;-4.22;-3.41;0.03342;0.03196;0.03201;0.03143;1.81;0.03193;0.25;66;0.69;0.156;0.156;0;0;-1.627
"GXS";5.685;1.5595;-8.87;-8.965;-9.06;1.06;1.5628;1.4227;1.4212;1.4233;-0.15;1.4993;-5.5;6;0.91;-0.105;0.063;-0.105;-0.148;0.197
"HARD";5.202;0.5518;-2.45;-3.51;-3.6;2.56;0.5584;0.5388;0.5383;0.5386;-0.06;0.5416;-0.61;3333;0.06;-0.093;0;-0.13;0;-0.408
"HBAR";7.744;0.2271;-2.07;-3.1;-2.88;-7.1;0.229;0.2219;0.2224;0.2186;1.71;0.222;0.18;63;0.83;0.225;0.225;-0.135;0.135;-0.451
"HIGH";6.26;5.63;-6.04;-7.03;-7.03;0;5.69;5.29;5.29;4.08;22.87;44;-731.76;3;0.33;0;0.189;-0.189;-0.189;0.378
"HIVE";20.07;0.9363;16.15;15.618;15.38;-1.52;0.9425;1.0897;1.0875;0.8943;17.77;1.2644;-16.27;6;0.87;-0.202;0.486;-2.065;0.527;-0.33
"HNT";10.959;27.17;-7.88;-9.786;-9.28;-5.17;27.59;24.89;25.03;0.686;97.26;59.27;-136.8;6;0.83;0.562;0.562;-0.161;0;-1.045
"HOT";8.153;0.004526;-4.88;-5.16;-5.07;-1.74;0.004535;0.004301;0.004305;0.004288;0.39;0.004312;-0.16;63;0.73;0.093;0.093;-0.14;0;-1.139
"ICP";108.576;20.29;7.49;7.773;8.67;11.54;20.07;21.63;21.81;21.63;0.83;21.96;-0.69;333;0.1;0.832;0.832;0;0.046;-3.236
"ICX";4.373;0.739;-3.52;-4.947;-4.68;-5.4;0.748;0.711;0.713;0.714;-0.14;0.716;-0.42;63;0.76;0.281;0.281;-0.141;0;-1.266
"IDEX";351.651;0.16911;64.83;78.177;79.65;1.88;0.15516;0.27646;0.27875;0.264;5.29;0.299;-7.26;33;0.17;0.828;1.28;-0.814;0.252;15.489
"ILV";3.513;617.2;-4.08;-4.81;-4.76;-1.04;621.6;591.7;592;586.1;1;1060.5;-79.14;6;0.67;0.051;0.051;-0.27;0;-0.727
"IMX";16.301;2.892;9.96;10.748;12.81;19.18;2.819;3.122;3.18;2;37.11;4.679;-47.14;3;0.5;1.858;1.858;-0.16;0.442;-1.313
"INJ";1.42;4.229;-4.16;-5.46;-5.44;-0.37;4.286;4.052;4.053;4.044;0.22;14.156;-249.27;633;0.47;0.025;0.074;-0.123;-0.049;-1.974
"IOST";7.816;0.02543;-1.14;-1.843;-1.41;-23.49;0.0255;0.02503;0.02514;0.02468;1.83;0.02519;-0.2;663;0.72;0.439;0.439;-0.12;0.159;-1.398
"IOTA";13.838;0.8411;2.34;3.017;3.07;1.76;0.8352;0.8604;0.8608;0.8316;3.39;0.8534;0.86;663;0.78;0.046;0.046;-0.279;0.035;-1.86
"IOTX";5.49;0.07631;-5.1;-5.866;-5.59;-4.71;0.07671;0.07221;0.07242;0.07176;0.91;0.0727;-0.39;6;0.89;0.291;0.291;-0.125;0.028;-1.108
"IRIS";3.921;0.0672;1.56;0.918;1.07;16.56;0.06753;0.06815;0.06825;0.06717;1.58;0.06881;-0.82;66;0.47;0.147;0.176;-0.455;0;-1.541
"JASMY";12.033;0.0445;-6.07;-5.856;-5.86;0.07;0.0444;0.0418;0.0418;0.0414;0.96;0.0424;-1.44;3;0.25;0;0;-0.478;0;-1.675
"JOE";10.895;1.512;-13.56;-16.345;-15.89;-2.78;1.554;1.3;1.307;1.298;0.69;1.305;0.15;3;0.33;0.538;0.538;-0.231;0.153;-1.462
"JST";15.63;0.04196;-1.95;-2.516;-2.35;-6.6;0.04213;0.04107;0.04114;0.04092;0.53;0.0413;-0.39;633;0.47;0.17;0.17;-0.073;0;-0.536
"JUV";0.338;6.24;-3.04;-3.36;-3.2;-4.76;6.25;6.04;6.05;6.02;0.5;10.98;-81.49;3333;0.07;0.166;0.166;0;0;-0.662
"KAVA";40.661;3.263;-2.6;-3.297;-2.99;-9.31;3.276;3.168;3.178;3.13;1.51;3.168;0.31;63;0.79;0.316;0.316;-0.221;0;-0.631
"KEEP";2.874;0.4485;-6.24;-6.621;-6.58;-0.62;0.4501;0.4203;0.4205;0.4101;2.47;0.4531;-7.75;63;0.56;0.048;0.071;-0.357;-0.024;-1.523
"KEY";1.507;0.00706;-2.86;-3.711;-3.6;-2.99;0.007114;0.00685;0.006858;0.006851;0.1;0.006852;0.09;66;0.68;0.117;0.117;-0.117;0;-1.299
"KLAY";4.914;1.186;-3.71;-3.879;-3.71;-4.36;1.186;1.14;1.142;1.134;0.7;1.164;-1.93;63;0.56;0.175;0.351;0;-0.175;-0.526
"KMD";0.211;0.4887;-4.52;-5.027;-5.03;0.06;0.4913;0.4666;0.4666;0.4662;0.09;0.4662;0.09;63;0.47;0;0;0;0;-1.414
"KNC";13.41;1.935;-2.79;-3.493;-3.39;-2.95;1.947;1.879;1.881;1.846;1.86;1.891;-0.53;66;0.52;0.106;0.16;-0.16;0.106;-1.809
"KP3R";8.297;907.77;-5.72;-5.805;-6.04;4.05;910.89;858.01;855.89;547.25;36.06;2065;-141.27;3;0.25;-0.247;0.082;-0.295;-0.255;0.717
"KSM";11.069;171.8;-5.01;-4.122;-3.89;-5.63;169.8;162.8;163.2;23.158;85.81;163.8;-0.37;63;0.5;0.246;0.246;-0.184;0.123;-2.15
"LAZIO";3.576;3.1328;0.31;-0.797;-0.67;-15.93;3.1638;3.1386;3.1426;3.122;0.66;100;-3082.08;33;0.2;0.127;0.204;-0.061;-0.076;0.223
"LINA";7.559;0.02583;-8.59;-9.57;-9.26;-3.24;0.02602;0.02353;0.02361;0.02347;0.59;0.02367;-0.25;33;0.08;0.34;0.382;-0.17;-0.042;-1.062
"LINK";77.739;17.27;-8.28;-6.235;-5.94;-4.73;16.84;15.79;15.84;15.8;0.25;15.94;-0.63;63;0.76;0.317;0.317;-0.127;0.063;-0.95
"LIT";4.955;1.444;-4.16;-3.092;-2.74;-11.38;1.423;1.379;1.384;1.368;1.16;1.385;-0.07;333;0.08;0.363;0.508;-0.073;0;-1.595
"LOKA";25.266;1.851;2.72;0.896;2.04;127.68;1.8633;1.88;1.9013;0.16;91.58;3.84;-101.97;3;0.5;1.133;1.202;-0.059;0.264;-0.223
"LPT";4.825;26.68;1.5;1.691;1.77;4.67;26.61;27.06;27.08;27;0.3;101.8;-275.92;6;0.7;0.074;0.074;-0.37;0;-1.885
"LRC";66.983;0.9289;-5.33;-8.672;-8.34;-3.83;0.9594;0.8762;0.8794;0.8725;0.78;0.8779;0.17;6;0.86;0.365;0.365;-0.114;0;-1.541
"LSK";0.884;1.595;0.44;-0.062;-0.06;-3.23;1.603;1.602;1.602;1.602;0;1.607;-0.31;633;0.64;0;0;-0.187;0;-0.125
"LTC";53.51;114.2;-4.82;-4.661;-4.4;-5.6;113.7;108.4;108.7;96.3;11.41;116;-6.72;63;0.82;0.277;0.277;-0.092;0.092;-0.369
"LTO";1.998;0.2007;-3.69;-5.064;-4.97;-1.86;0.2034;0.1931;0.1933;0.1928;0.26;0.1928;0.26;66;0.6;0.104;0.104;-0.052;0;-0.414
"LUNA";281.58;51.69;-6.77;-8.263;-8.03;-2.82;52.4;48.07;48.19;43.44;9.86;103.6;-114.98;6;0.89;0.25;0.25;-0.062;0.062;-1.227
"MANA";91.429;2.6934;-6.58;-5.197;-4.69;-9.76;2.64;2.5028;2.5163;0.03;98.81;5.9;-134.47;6;0.84;0.539;0.567;-0.088;-0.028;-1.994
"MASK";5.199;6.202;-7.9;-10.047;-9.76;-2.86;6.33;5.694;5.712;5.691;0.37;14.301;-150.37;6;0.7;0.316;0.316;-0.193;0.211;-1.545
"MATIC";95.607;1.633;-5.45;-5.868;-5.62;-4.23;1.636;1.54;1.544;1.526;1.17;1.55;-0.39;6;0.94;0.26;0.26;0;0;-0.779
"MBL";2.132;0.005667;2.29;2.273;2.13;-6.29;0.005676;0.005805;0.005797;0.005687;1.9;0.005809;-0.21;63;0.6;-0.138;0;-0.706;0.138;-0.482
"MBOX";28.038;2.725;0.33;0.814;1.11;36.36;2.704;2.726;2.734;2.306;15.65;15.734;-475.49;6;0.71;0.293;0.33;-0.147;-0.037;-0.917
"MC";3.415;2.38;-10.5;-11.203;-11.62;3.72;2.41;2.14;2.13;2.1;1.41;12.7;-496.24;3;0.33;-0.467;0;-0.467;-0.467;-1.402
"MDT";4.051;0.06235;-7.47;-5.145;-5.16;0.29;0.06083;0.0577;0.05769;0.05765;0.07;0.0577;-0.02;6;0.9;-0.017;0.035;-0.121;0.104;-1.75
"MDX";1.272;0.229;-2.62;-3.043;-3.04;-0.1;0.23;0.223;0.223;0.221;0.9;0.226;-1.35;333;0.2;0;0.448;0;0;0
"MFT";1.071;0.006127;3;3.309;2.87;-13.27;0.006135;0.006338;0.006311;0.006229;1.3;0.00627;0.65;663;0.65;-0.426;0.3;-0.742;-0.19;-0.82
"MINA";18.315;2.568;-5.53;-10.048;-9.71;-3.36;2.687;2.417;2.426;2.421;0.21;2.478;-2.14;3;0.57;0.372;0.372;-0.041;0.083;-1.117
"MIR";1.276;1.155;1.47;0.605;1.3;114.88;1.157;1.164;1.172;1.15;1.88;1.165;0.6;333;0.09;0.687;0.687;0;0.342;-0.344
"MITH";2.351;0.03597;-0.89;0.056;0.31;453.57;0.03554;0.03556;0.03565;0.03516;1.37;0.03583;-0.5;63;0.71;0.253;0.253;0;0;-0.956
"MKR";4.98;2231;-2.47;-1.986;-1.76;-11.38;2215;2171;2176;429.79;80.25;2168;0.37;633;0.55;0.23;0.23;-0.23;0;-0.875
"MLN";0.346;56;-2.32;-3.186;-3.19;0.13;56.5;54.7;54.7;54.4;0.55;131.9;-141.13;33;0.38;0;0;0;0;-0.548
"MOVR";5.145;76.7;-3.52;-2.88;-3.14;9.03;76.4;74.2;74;70;5.41;540;-629.73;3;0.25;-0.27;0;-0.404;0;-0.943
"MTL";19.682;1.539;4.74;5.167;5.43;5.09;1.529;1.608;1.612;1.573;2.42;1.706;-5.83;663;0.65;0.249;0.249;-0.124;0.124;-2.674
"NANO";3.223;2.15;3.44;5.203;5.2;-0.06;2.114;2.224;2.224;2.148;3.42;17.7;-695.86;633;0.76;0;0;0;0;0
"NBS";0.443;0.01129;-4.25;-4.956;-4.34;-12.43;0.0113;0.01074;0.01081;0.01075;0.56;0.0108;0.09;66;0.44;0.652;1.583;0;0;0.093
"NEAR";127.314;11.112;-3.16;-3.508;-3.21;-8.49;11.118;10.728;10.761;10.677;0.78;11.159;-3.7;6;0.94;0.308;0.308;-0.168;0.056;-1.641
"NEO";14.644;20.09;-0.6;-0.746;-0.65;-12.87;20.1;19.95;19.97;3.89;80.52;141;-606.06;3633;0.06;0.1;0.15;-0.201;-0.05;-1.454
"NKN";2.089;0.2194;-8.25;-8.798;-8.71;-1;0.2205;0.2011;0.2013;0.2012;0.05;0.2025;-0.6;66;0.66;0.099;0.099;0;0;-1.492
"NMR";0.939;25.01;-7.12;-8.89;-8.22;-7.54;25.31;23.06;23.23;23.02;0.9;23.51;-1.21;333;0.53;0.737;0.737;-0.13;0;0.087
"NU";1.699;0.492;-1.38;-0.797;-0.86;7.9;0.4894;0.4855;0.4852;0.4778;1.53;0.4889;-0.76;63;0.56;-0.062;0;-0.391;0.041;-1.112
"NULS";1.822;0.3992;-7.94;-7.292;-7.59;4.09;0.3977;0.3687;0.3675;0.3631;1.2;0.3731;-1.52;36;0.02;-0.325;0;-0.325;0;-1.004
"OCEAN";4.462;0.5739;-6.41;-6.819;-6.58;-3.5;0.5749;0.5357;0.5371;0.5343;0.52;0.5363;0.15;66;0.47;0.261;0.355;-0.075;-0.093;-0.952
"OG";0.542;3.375;-5.72;-6.673;-6.47;-3.04;3.402;3.175;3.182;3.16;0.69;11.2;-251.98;3333;0.07;0.22;0.22;0;0.22;-1.039
"OGN";4.104;0.3283;-3.59;-3.399;-3.09;-9.09;0.3266;0.3155;0.3165;0.3124;1.3;0.3179;-0.44;63;0.62;0.317;0.317;-0.317;0.253;-1.236
"OM";0.426;0.0985;-6.19;-6.002;-6;-0.03;0.0983;0.0924;0.0924;0.0924;0;0.0925;-0.11;333;0.08;0;0;0;0;-0.216
"OMG";20.611;4.889;-5.56;-6.385;-6.12;-4.15;4.918;4.604;4.617;0.3031;93.44;20.124;-335.87;6;0.91;0.282;0.282;0;0;-0.912
"ONE";43.259;0.1859;-4.29;-5.786;-5.21;-9.96;0.18769;0.17683;0.17792;0.17536;1.44;0.17675;0.66;63;0.88;0.616;0.616;0;0;-1.238
"ONG";2.666;0.6389;-2.38;-2.388;-2.65;10.97;0.6407;0.6254;0.6237;0.6197;0.64;0.635;-1.81;3633;0.03;-0.272;0;-0.352;0.08;-0.432
"ONT";6.693;0.4927;-1.58;-3.727;-3.35;-10.12;0.5017;0.483;0.4849;0.4817;0.66;0.4845;0.08;3633;0.02;0.393;0.414;-0.041;-0.021;-0.994
"OOKI";116.984;0.01318;44.69;45.913;45.68;-0.51;0.01309;0.0191;0.01907;0.00932;51.13;1.8;-9338.91;3;0.33;-0.157;0.942;-1.257;0.899;8.639
"ORN";1.819;4.13;-6.66;-6.736;-6.93;2.88;4.142;3.863;3.855;3.874;-0.49;13.187;-242.08;633;0.39;-0.207;0;-0.259;0;-1.113
"OXT";0.745;0.243;-4.49;-4.844;-4.72;-2.56;0.2436;0.2318;0.2321;0.2302;0.82;0.234;-0.82;63;0.44;0.129;0.129;0;0;-0.647
"PAXG";4.068;1805;0.5;0.387;0.39;0.78;1807;1814;1814;1810;0.22;1816;-0.11;336;0.32;0;0;0;0;-0.165
"PEOPLE";71.495;0.0891;-12.57;-7.701;-7.7;-0.01;0.0844;0.0779;0.0779;0.07;10.14;0.1048;-34.53;3;0.33;0;0.257;-0.128;-0.256;-6.418
